Aakash,,,,Siddharth,,,,Sai,,,,Sriraam,,,,Varada,,
,,,,,,,,,,,,,,,,,,
Player Name,teamId,PlayerId,,Player Name,teamId,PlayerId,,Player Name,teamId,PlayerId,,Player Name,teamId,PlayerId,,Player Name,teamId,PlayerId
Dewald Brevis (O),1108,84562,,Phill Salt (O),1105,65632,,Abhishek Sharma,1379,66799,,KL Rahul,1109,60122,,Kartik Tyagi,1106,67735
Shubman Gill,2955,66818,,Aiden Markram (O),2954,64219,,Digvesh Rathi,2954,100574,,Kuldeep Yadav,1109,63187,,Aaqib Nabi Dar,1109,70172
Rishabh Pant,2954,65756,,Vaibhav Arora,1106,74298,,Matheesha Pathirana (O),1106,73830,,Yuzi Chahal,1107,9844,,Bhuvneshwar Kumar,1105,5132
Prashant Veer,1108,98636,,Trent Boult (O),1111,4338,,Nicolas Pooran (O),2954,63726,,Priyansh Arya,1107,71366,,Harshal Patel,1379,5407
Noor Ahmed (O),1108,71411,,Krunal Pandya,1105,63788,,Josh Hazlewood (O),1105,4255,,Ruturaj Gaikwad,1108,66584,,Rajat Patidar,1105,65687
Riyan Parag,1110,66939,,Rohit Sharma,1111,3852,,Suryakumar Yadav,1111,11803,,Mukesh Kumar,1109,65723,,Sarfaraz Khan,1108,63962
Mohammed Shami,2954,28994,,Marco Jansen (O),1107,69409,,Mitchell Starc (O),1109,10053,,Mitchell Marsh (O),2954,10094,,Urvil Patel,1108,68150
Hardik Pandya,1111,63751,,Virat Kohli,1105,3993,,Sai Sudharshan,2955,69500,,Mohammed Siraj,2955,65799,,Varun Chakravarthy,1106,67469
Prabhsimran Singh,1107,70222,,Yashaswi Jaiswal,1110,69238,,Angkrish Raghuvanshi,1106,88352,,Ravi Bishnoi,1110,71288,,Rashid Khan (O),2955,65748
Jasprit Bumrah,1111,63755,,Sanju Samson,1108,61837,,Ayush Mhatre,1108,120157,,Sai Kishore,2955,66438,,Vaibhav Suryavanshi,1110,114349
Axar Patel,1109,62576,,Khaleel Ahmed,1108,65867,,Jos Buttler (O),2955,9782,,Shreyas Iyer,1107,63961,,Ishan Kishan,1379,64712
Venkatesh Iyer,1105,65430,,Suyash Sharma,1105,100564,,Ravindra Jadeja,1110,3850,,Pat Cummins (O),1379,56964,,Tim David (O),1105,67402
Nathan Ellis (O),1108,70324,,Prasidh Krishna,2955,65702,,Arshdeep Singh,1107,67905,,Cameron Green (O),1106,66870,,Sunil Narine(O),1106,11229
Tristian Stubbs,1109,74761,,Travis Head (O),1379,62023,,Shivam Dube,1108,66044,,Heinrich Klassen (O),1379,59736,,Tilak Varma,1111,70761
T Natarajan,1109,65160,,Shashank Singh,1107,63520,,Nehal Wadhera,1107,69657,,Abhishek Porel,1109,82442,,Washington Sundar,2955,65859
Naman Dhir,1111,100353,,Ajinkya Rahane,1106,3991,,Vipraj Nigam,1109,88677,,Ayush Badoni,2954,69656,,Quinton De kock (O),1111,28035